Infrastructure_Type,Defect_Location,Defect_Length_mm,Defect_Width_mm,Defect_Depth_mm,Severity_Level,Lighting_Condition,Occlusion_Level,Inspection_Mode,Target_Defect_Class
Tunnel,Deck,208.2,14.04,80.67,Low,Normal,Partial,Ground,Crack
Road,Column,85.85,20.28,61.93,Medium,Low,Severe,Fixed Camera,Crack
Road,Deck,114.78,49.15,75.62,Medium,High,Severe,Fixed Camera,Healthy
Building,Beam,162.19,27.06,45.27,Medium,High,None,UAV,Healthy
Bridge,Wall,133.4,25.38,31.66,High,High,Partial,Fixed Camera,Deformation
Road,Beam,48.36,13.26,48.8,Medium,Normal,Partial,UAV,Corrosion
Road,Surface,49.51,35.22,32.98,Low,High,None,Ground,Crack
Bridge,Wall,100.66,1.21,84.06,Medium,Normal,Severe,Fixed Camera,Crack
Tunnel,Deck,30.03,2.95,30.47,Medium,Normal,Severe,UAV,Corrosion
Tunnel,Surface,315.1,30.17,66.32,Low,Low,None,Ground,Deformation
Building,Wall,147.23,17.41,14.56,Low,High,Severe,UAV,Crack
Tunnel,Deck,143.47,47.69,69.0,Medium,Normal,Severe,Ground,Corrosion
Bridge,Beam,169.34,45.21,91.42,High,High,None,Fixed Camera,Spalling
Road,Wall,333.08,35.83,61.25,Medium,Low,None,UAV,Crack
Tunnel,Deck,435.96,41.0,56.43,High,Low,None,Fixed Camera,Spalling
Building,Beam,380.75,33.53,96.15,High,Normal,Severe,UAV,Corrosion
Tunnel,Surface,365.13,6.72,63.11,Low,Low,None,Ground,Crack
Bridge,Surface,244.77,38.39,26.7,Medium,Low,Severe,UAV,Corrosion
Building,Surface,348.43,10.9,29.95,Medium,Low,Partial,UAV,Healthy
Tunnel,Surface,278.62,16.51,70.83,Low,High,Partial,Fixed Camera,Corrosion
Building,Column,112.04,41.05,73.81,Medium,High,None,Fixed Camera,Corrosion
Bridge,Wall,108.25,27.06,31.05,Medium,Normal,Severe,Fixed Camera,Crack
Road,Wall,151.71,43.07,35.19,Low,Normal,Severe,Ground,Spalling
Bridge,Column,455.85,11.05,99.11,High,Low,Severe,Fixed Camera,Deformation
Bridge,Deck,275.97,30.59,11.09,High,Low,None,UAV,Corrosion
Bridge,Deck,368.28,4.65,41.06,High,Normal,Severe,Ground,Crack
Bridge,Surface,176.55,32.33,7.18,Low,Low,Severe,Fixed Camera,Healthy
Road,Beam,206.82,38.25,82.29,High,Normal,Severe,UAV,Deformation
Road,Deck,67.15,29.45,10.14,Low,High,Partial,UAV,Spalling
Building,Beam,89.79,13.68,67.73,Low,Low,Severe,Ground,Corrosion
Tunnel,Wall,414.54,2.05,6.59,High,Low,Partial,UAV,Crack
Road,Beam,294.5,6.41,67.61,Medium,Low,Severe,Fixed Camera,Deformation
Road,Wall,172.08,31.3,84.46,Medium,High,Severe,UAV,Spalling
Tunnel,Column,402.41,46.75,40.48,Medium,High,Severe,Fixed Camera,Spalling
Road,Column,127.03,10.72,52.69,Low,Low,Partial,Fixed Camera,Crack
Bridge,Surface,488.14,36.88,40.75,Medium,Normal,Severe,Ground,Spalling
Bridge,Deck,175.68,43.39,30.75,Medium,High,None,UAV,Deformation
Tunnel,Surface,171.97,26.28,80.52,Medium,Low,Severe,Ground,Healthy
Building,Wall,159.4,33.63,27.93,Medium,Low,Partial,Ground,Crack
Building,Surface,65.45,40.84,72.57,High,High,Partial,Ground,Spalling
Tunnel,Beam,60.01,13.4,21.41,Medium,Normal,None,Fixed Camera,Spalling
Tunnel,Wall,325.81,15.2,25.74,Medium,Low,None,Fixed Camera,Healthy
Bridge,Column,438.18,0.53,34.31,High,Normal,None,Fixed Camera,Deformation
Building,Deck,396.31,48.17,59.33,Medium,Normal,Partial,Fixed Camera,Healthy
Road,Wall,74.85,45.92,45.99,Low,High,Severe,UAV,Healthy
Bridge,Wall,275.06,38.35,74.77,Low,Low,Severe,UAV,Crack
Tunnel,Beam,57.27,4.41,22.14,Medium,Low,None,Fixed Camera,Deformation
Building,Deck,27.42,22.65,2.06,Low,Normal,None,Fixed Camera,Spalling
Road,Column,329.91,5.54,77.88,Medium,High,Severe,UAV,Crack
Road,Wall,269.9,1.29,82.34,Low,High,None,Ground,Crack
Bridge,Wall,45.6,31.0,6.89,Low,High,Severe,Ground,Crack
Building,Beam,22.29,48.06,61.48,Medium,Normal,Severe,Fixed Camera,Deformation
Building,Surface,494.93,45.19,38.44,High,Normal,Severe,Ground,Corrosion
Tunnel,Column,19.86,34.99,79.6,Medium,Low,Severe,Fixed Camera,Healthy
Building,Deck,225.04,5.28,87.57,High,High,Partial,Fixed Camera,Spalling
Building,Wall,254.79,14.07,85.25,High,Normal,Severe,Fixed Camera,Spalling
Bridge,Wall,63.05,16.34,77.94,Low,High,None,UAV,Corrosion
Building,Column,88.69,38.28,27.64,Low,Normal,None,Ground,Corrosion
Road,Surface,179.14,40.21,81.38,High,Low,None,UAV,Corrosion
Bridge,Wall,382.03,19.56,53.81,High,High,None,Ground,Crack
Bridge,Column,256.01,21.19,6.22,Medium,Normal,Partial,UAV,Deformation
Tunnel,Beam,320.76,2.7,46.24,High,High,Severe,UAV,Spalling
Building,Surface,492.66,14.81,94.27,Low,Normal,Severe,Fixed Camera,Crack
Tunnel,Deck,385.16,22.84,88.9,Low,Normal,None,Fixed Camera,Deformation
Road,Wall,220.01,6.29,11.12,Medium,Normal,None,UAV,Crack
Bridge,Column,225.99,22.94,74.67,Medium,High,None,Ground,Corrosion
Bridge,Beam,311.29,42.73,80.77,Low,Normal,Severe,Ground,Spalling
Bridge,Deck,334.36,29.28,27.87,Low,Low,Partial,Fixed Camera,Crack
Road,Column,252.85,4.41,47.69,Low,High,Partial,Fixed Camera,Spalling
Road,Column,324.21,9.99,71.39,Medium,Low,Partial,Ground,Spalling
Tunnel,Deck,16.65,23.99,44.47,High,Low,Partial,Ground,Spalling
Tunnel,Beam,217.66,18.39,12.17,High,High,None,Ground,Crack
Tunnel,Beam,143.07,18.26,70.88,Medium,Normal,Severe,Fixed Camera,Crack
Building,Surface,68.94,26.7,91.25,Medium,Low,None,Ground,Crack
Bridge,Wall,54.28,29.43,65.6,Medium,High,Partial,Fixed Camera,Healthy
Bridge,Deck,303.58,39.94,77.61,Low,Normal,None,UAV,Crack
Tunnel,Deck,264.18,17.38,36.48,Low,High,Partial,UAV,Corrosion
Bridge,Deck,130.52,40.37,19.14,Low,High,Severe,UAV,Healthy
Tunnel,Beam,238.12,17.26,64.63,High,High,Partial,Ground,Deformation
Building,Wall,248.65,3.24,33.45,High,Normal,None,Fixed Camera,Deformation
Building,Surface,101.53,27.93,86.15,Medium,Low,Severe,Ground,Healthy
Road,Column,327.79,29.6,13.14,Medium,Low,Partial,Fixed Camera,Corrosion
Building,Column,391.56,46.76,43.91,Low,High,Partial,Ground,Corrosion
Tunnel,Deck,396.77,36.44,40.28,Medium,High,Severe,UAV,Crack
Building,Wall,303.22,45.93,93.87,Medium,Normal,None,Fixed Camera,Crack
Road,Beam,258.26,45.46,16.16,Medium,High,Severe,Ground,Spalling
Bridge,Wall,35.2,30.43,1.97,Low,High,None,Fixed Camera,Crack
Tunnel,Wall,147.48,26.62,24.57,High,High,Partial,Fixed Camera,Deformation
Bridge,Beam,51.17,28.09,82.21,Medium,Low,Partial,Ground,Crack
Road,Deck,482.09,48.93,21.72,High,High,Severe,Ground,Crack
Road,Wall,71.86,38.77,24.85,High,Low,Partial,Fixed Camera,Deformation
Road,Column,80.13,5.76,13.86,High,Normal,Severe,Fixed Camera,Crack
Bridge,Beam,445.34,39.03,71.83,Low,Normal,Partial,UAV,Deformation
Bridge,Surface,472.24,8.94,7.85,Low,Low,Partial,Fixed Camera,Healthy
Bridge,Deck,384.09,22.64,33.79,Low,Low,None,UAV,Deformation
Bridge,Beam,7.68,10.92,28.97,Low,Low,Severe,UAV,Corrosion
Road,Surface,5.67,34.63,55.96,Medium,Low,Severe,UAV,Healthy
Road,Surface,192.16,43.93,73.31,Medium,High,Partial,Fixed Camera,Crack
Tunnel,Wall,75.98,14.87,53.75,Medium,Low,None,UAV,Deformation
Tunnel,Wall,14.1,4.56,93.17,Low,Low,None,Fixed Camera,Crack
Bridge,Wall,234.71,15.28,95.19,High,Low,Severe,Fixed Camera,Crack
Building,Beam,471.82,33.78,36.79,Low,High,Severe,Ground,Healthy
Building,Beam,165.29,16.77,77.99,Low,High,Partial,Fixed Camera,Corrosion
Road,Deck,332.26,14.27,74.14,Medium,High,Severe,Fixed Camera,Deformation
Road,Wall,327.86,9.63,89.4,High,Normal,Partial,UAV,Corrosion
Road,Surface,129.28,25.13,45.35,Medium,High,None,Fixed Camera,Deformation
Tunnel,Column,326.96,14.16,53.52,Low,Low,Severe,Fixed Camera,Healthy
Tunnel,Deck,110.11,36.69,42.16,Medium,High,None,Ground,Corrosion
Road,Beam,65.39,4.29,85.19,Low,High,None,Ground,Spalling
Road,Deck,352.18,33.37,23.74,Low,Low,Partial,UAV,Spalling
Road,Deck,61.15,12.26,24.73,Medium,High,None,UAV,Healthy
Building,Deck,498.47,24.72,37.89,Low,Normal,Partial,Ground,Crack
Tunnel,Deck,95.81,14.66,23.8,Low,High,Partial,Ground,Spalling
Building,Column,299.1,36.28,56.54,Medium,Normal,None,Fixed Camera,Corrosion
Building,Wall,208.63,47.29,14.31,High,Normal,None,UAV,Crack
Road,Surface,67.56,45.9,32.7,High,Normal,Partial,UAV,Crack
Road,Deck,18.78,29.38,91.43,Medium,Low,Partial,Fixed Camera,Spalling
Bridge,Deck,313.25,23.4,41.51,Low,High,None,Fixed Camera,Healthy
Bridge,Deck,404.34,41.01,75.08,Low,Normal,Partial,UAV,Corrosion
Building,Wall,421.8,34.32,12.23,Low,Normal,Partial,Ground,Spalling
Tunnel,Beam,243.94,9.59,25.51,Medium,High,Severe,Ground,Spalling
Road,Beam,389.84,41.14,80.93,Medium,Low,Severe,Fixed Camera,Corrosion
Road,Column,338.06,21.73,76.54,Medium,Low,Severe,UAV,Healthy
Building,Beam,363.51,9.85,39.23,Medium,Normal,Severe,Fixed Camera,Corrosion
Bridge,Deck,248.84,14.45,95.49,Low,Low,Severe,Ground,Crack
Tunnel,Deck,318.54,13.74,91.15,Medium,High,Partial,Ground,Crack
Bridge,Deck,403.74,26.2,96.27,Low,Low,Partial,Fixed Camera,Healthy
Bridge,Column,201.95,12.1,43.36,Medium,High,Severe,Ground,Healthy
Bridge,Deck,403.96,6.62,20.55,Medium,Normal,None,UAV,Corrosion
Bridge,Beam,298.05,6.62,63.04,Medium,High,Severe,Fixed Camera,Crack
Road,Wall,87.12,29.37,68.79,Medium,Normal,None,Fixed Camera,Corrosion
Road,Wall,17.22,36.87,13.42,Medium,High,Partial,Fixed Camera,Deformation
Bridge,Surface,184.56,16.42,78.86,Low,High,None,Ground,Spalling
Tunnel,Beam,275.61,2.22,2.79,Low,Low,Partial,UAV,Healthy
Building,Deck,420.71,6.8,48.79,Medium,High,None,Fixed Camera,Deformation
Tunnel,Wall,68.11,45.78,33.77,Low,Normal,Partial,Fixed Camera,Healthy
Tunnel,Beam,401.1,24.93,74.29,Medium,High,Partial,Ground,Spalling
Tunnel,Wall,432.19,22.95,31.96,Medium,Normal,Severe,UAV,Corrosion
Bridge,Deck,79.59,2.38,82.85,High,Normal,Partial,Fixed Camera,Deformation
Road,Wall,426.54,36.57,59.9,High,High,Severe,Ground,Corrosion
Tunnel,Surface,495.77,26.64,79.6,Low,Low,Severe,Fixed Camera,Corrosion
Bridge,Surface,364.79,10.5,98.94,High,High,Severe,Ground,Crack
Tunnel,Wall,393.46,5.95,68.24,Medium,High,None,UAV,Spalling
Tunnel,Beam,497.24,19.48,98.51,Medium,Low,None,Ground,Spalling
Bridge,Beam,304.71,41.94,3.85,Low,Normal,Partial,Fixed Camera,Spalling
Road,Beam,157.4,43.33,34.48,High,High,Severe,Fixed Camera,Crack
Road,Wall,419.58,30.34,11.68,Low,Low,Severe,Ground,Spalling
Building,Beam,309.17,36.51,26.97,High,Low,Partial,UAV,Crack
Bridge,Deck,292.69,6.2,84.05,Low,Normal,Severe,UAV,Spalling
Building,Surface,130.55,29.61,4.2,Medium,Low,Partial,Fixed Camera,Corrosion
Building,Deck,379.39,33.51,52.5,Medium,Normal,Severe,Fixed Camera,Deformation
Building,Beam,45.43,10.44,57.15,Low,High,None,Ground,Deformation
Road,Deck,462.52,44.07,56.55,Low,Low,Partial,Ground,Deformation
Bridge,Beam,166.28,10.15,48.05,Medium,High,Partial,Ground,Deformation
Building,Wall,68.25,16.02,79.27,Low,Low,None,UAV,Spalling
Bridge,Deck,223.97,31.22,14.22,Medium,Low,Partial,UAV,Crack
Bridge,Wall,26.02,32.1,31.75,Medium,High,None,Fixed Camera,Spalling
Road,Wall,343.89,35.12,61.96,High,Low,Severe,Fixed Camera,Corrosion
Building,Column,451.84,6.04,69.4,Medium,High,None,Fixed Camera,Corrosion
Building,Beam,419.45,42.55,41.01,Low,High,None,Ground,Corrosion
Bridge,Surface,68.05,26.88,87.66,Low,Normal,Partial,UAV,Healthy
Tunnel,Beam,67.5,23.83,42.13,Low,High,Severe,Fixed Camera,Crack
Road,Surface,407.65,49.06,40.87,High,Normal,None,Fixed Camera,Corrosion
Road,Beam,462.51,37.15,4.58,High,High,Severe,Fixed Camera,Healthy
Road,Wall,233.03,6.34,55.56,Low,Low,None,Fixed Camera,Deformation
Road,Deck,251.99,37.95,71.16,Low,High,Partial,Fixed Camera,Crack
Building,Deck,162.54,5.21,12.33,High,Low,None,Fixed Camera,Healthy
Building,Column,447.66,1.86,31.24,High,Normal,None,UAV,Crack
Tunnel,Surface,324.23,20.48,78.34,High,Low,Severe,Fixed Camera,Deformation
Road,Surface,147.68,49.68,37.23,High,High,None,UAV,Spalling
Road,Surface,152.9,9.16,24.92,Medium,Low,Partial,Ground,Spalling
Bridge,Wall,446.14,33.8,67.55,Low,Normal,Partial,UAV,Deformation
Building,Surface,11.75,9.08,20.48,Medium,Low,None,Ground,Crack
Road,Deck,164.75,36.38,89.67,Medium,Low,None,UAV,Crack
Tunnel,Wall,279.41,25.52,11.45,Medium,High,Severe,UAV,Spalling
Tunnel,Beam,78.37,34.16,70.95,Medium,High,Severe,Fixed Camera,Corrosion
Building,Surface,50.59,10.54,50.46,Low,Low,Partial,UAV,Healthy
Tunnel,Surface,408.56,37.41,87.12,Low,Normal,Severe,UAV,Corrosion
Tunnel,Beam,447.73,49.78,13.49,Medium,Low,None,Fixed Camera,Crack
Building,Surface,412.69,33.45,68.11,Low,Normal,Partial,Ground,Deformation
Road,Beam,449.9,24.93,57.63,Medium,Normal,Severe,Fixed Camera,Corrosion
Road,Wall,278.79,46.2,48.53,High,Normal,Partial,Fixed Camera,Crack
Tunnel,Deck,407.07,1.28,49.65,High,Low,None,Fixed Camera,Corrosion
Tunnel,Beam,195.1,36.63,72.48,Medium,Normal,Severe,Ground,Healthy
Road,Column,334.8,44.49,93.84,Medium,Low,None,UAV,Corrosion
Building,Beam,494.47,3.55,10.03,Low,Normal,None,UAV,Corrosion
Tunnel,Surface,116.74,22.78,2.93,Medium,Normal,Partial,Fixed Camera,Corrosion
Bridge,Wall,198.0,10.63,80.76,Medium,Low,Partial,Fixed Camera,Crack
Building,Wall,242.62,28.54,11.71,Medium,High,Partial,UAV,Crack
Tunnel,Beam,73.32,32.65,98.68,High,High,Severe,UAV,Deformation
Tunnel,Deck,45.11,15.48,62.32,Medium,Low,Severe,UAV,Healthy
Bridge,Column,415.71,23.27,65.44,Low,Low,Partial,Ground,Crack
Bridge,Wall,488.51,14.33,20.69,Low,High,Severe,Ground,Spalling
Road,Surface,205.34,18.78,24.79,Medium,High,Severe,Fixed Camera,Healthy
Building,Surface,48.39,8.4,66.28,Medium,High,Partial,Ground,Crack
Building,Deck,37.58,44.34,91.06,High,Low,None,Fixed Camera,Crack
Road,Wall,446.2,1.0,98.26,Medium,Normal,Severe,UAV,Healthy
Building,Beam,234.59,44.18,20.61,Medium,Low,Severe,UAV,Deformation
Building,Surface,163.41,28.8,14.28,Medium,High,None,Fixed Camera,Crack
Building,Deck,240.85,16.92,6.58,Medium,Normal,None,UAV,Corrosion
Building,Wall,162.56,36.29,86.96,Medium,Low,None,Fixed Camera,Crack
Building,Wall,247.07,25.63,30.18,Medium,High,Partial,Fixed Camera,Corrosion
Bridge,Wall,430.48,25.21,1.18,Medium,Low,None,Fixed Camera,Deformation
Building,Wall,298.19,5.95,23.16,Low,Normal,Partial,Ground,Spalling
Bridge,Wall,348.85,19.78,34.7,High,High,None,Fixed Camera,Spalling
Building,Surface,185.51,12.43,99.11,Low,Low,None,Fixed Camera,Corrosion
Road,Deck,370.56,1.28,52.83,Low,Normal,Partial,Fixed Camera,Crack
Tunnel,Wall,334.98,18.32,21.27,Low,Normal,Partial,Ground,Crack
Bridge,Column,64.18,4.95,34.15,Low,Low,None,UAV,Deformation
Building,Column,288.46,13.21,33.7,Medium,Normal,None,Ground,Spalling
Road,Deck,132.09,5.08,2.95,Low,High,None,Fixed Camera,Crack
Tunnel,Beam,403.03,5.5,14.38,Low,Normal,Severe,Ground,Corrosion
Bridge,Beam,215.84,10.35,69.82,Medium,Low,None,UAV,Deformation
Tunnel,Beam,497.37,49.99,12.9,Medium,High,Partial,UAV,Spalling
Road,Column,50.79,0.61,23.84,Low,Normal,Severe,Fixed Camera,Corrosion
Bridge,Beam,391.27,32.11,35.72,Medium,Normal,Partial,UAV,Crack
Tunnel,Surface,338.48,7.49,76.02,Medium,High,Severe,Ground,Crack
Building,Wall,384.91,46.07,58.66,High,High,Severe,Ground,Deformation
Bridge,Column,157.23,5.13,69.21,Medium,Normal,Partial,UAV,Spalling
Tunnel,Deck,248.57,47.78,57.13,Low,High,Severe,Fixed Camera,Deformation
Road,Deck,399.27,30.74,68.68,Medium,Low,Partial,Fixed Camera,Healthy
Road,Wall,120.11,0.56,1.28,Medium,Normal,None,Ground,Healthy
Bridge,Column,116.89,44.75,93.16,Low,Low,Severe,UAV,Crack
Tunnel,Beam,277.77,26.32,11.98,High,Normal,Partial,Ground,Crack
Bridge,Beam,264.16,13.5,41.22,Medium,Low,Severe,Ground,Corrosion
Bridge,Surface,144.72,38.48,77.33,High,Low,Partial,Ground,Crack
Tunnel,Surface,152.55,46.37,44.09,Medium,High,None,Fixed Camera,Deformation
Tunnel,Beam,142.53,24.44,94.74,Medium,Normal,None,UAV,Healthy
Building,Deck,386.9,16.12,47.29,Medium,High,Severe,UAV,Deformation
Tunnel,Deck,327.69,39.55,87.62,Medium,High,Severe,Fixed Camera,Crack
Road,Surface,417.05,34.25,81.27,Medium,Normal,Partial,Ground,Crack
Bridge,Wall,487.86,44.49,98.12,High,Low,Partial,Ground,Corrosion
Bridge,Beam,239.71,34.78,92.73,Medium,Normal,Severe,Fixed Camera,Deformation
Road,Surface,38.01,12.55,89.91,High,Normal,Partial,UAV,Corrosion
Tunnel,Surface,28.81,46.62,73.43,High,Normal,Partial,Fixed Camera,Crack
Road,Beam,151.35,5.69,37.33,High,High,Partial,UAV,Crack
Road,Beam,466.61,13.76,11.51,Medium,Normal,Severe,UAV,Healthy
Building,Deck,263.99,26.25,69.18,Medium,Normal,None,UAV,Spalling
Road,Wall,139.53,28.5,97.89,Low,Normal,None,Ground,Healthy
Bridge,Wall,202.59,1.26,72.93,Medium,Low,Partial,Ground,Deformation
Road,Beam,301.3,39.14,92.94,Low,Low,Severe,Fixed Camera,Spalling
Bridge,Column,328.21,18.4,80.63,Low,Low,Partial,Fixed Camera,Crack
Bridge,Surface,81.19,20.62,17.15,Low,Low,None,Ground,Corrosion
Bridge,Surface,488.63,40.56,25.67,High,High,Partial,Fixed Camera,Spalling
Tunnel,Beam,274.66,19.27,34.84,High,High,None,Ground,Healthy
Building,Column,72.17,2.84,17.66,Medium,Normal,Severe,Ground,Crack
Bridge,Deck,447.35,9.23,58.58,Medium,High,Partial,UAV,Crack
Bridge,Beam,41.95,47.82,97.57,Medium,Low,Severe,UAV,Spalling
Tunnel,Beam,454.33,3.99,76.38,Medium,Normal,Partial,Ground,Crack
Bridge,Surface,498.3,18.07,42.92,Medium,Normal,Partial,UAV,Spalling
Road,Beam,351.71,25.41,1.45,Low,Low,Partial,Ground,Crack
Road,Beam,386.37,24.92,32.01,Low,Low,Partial,UAV,Crack
Building,Beam,171.96,0.7,53.15,Medium,Low,Partial,Fixed Camera,Corrosion
Bridge,Surface,471.08,25.31,33.1,Medium,High,Severe,Fixed Camera,Spalling
Tunnel,Deck,267.21,19.5,11.99,Medium,Normal,Severe,Ground,Spalling
Road,Deck,367.53,48.62,44.83,High,Low,None,Ground,Crack
Tunnel,Beam,462.43,8.38,26.07,Low,Normal,Partial,UAV,Healthy
Tunnel,Surface,487.71,18.03,91.01,Low,Normal,None,UAV,Crack
Road,Deck,417.44,21.26,11.07,Medium,High,Severe,Ground,Crack
Tunnel,Deck,154.99,19.84,5.87,Low,Normal,None,Fixed Camera,Spalling
Road,Deck,483.44,33.46,1.53,Low,Low,Severe,Fixed Camera,Crack
Tunnel,Surface,315.92,11.17,33.48,Low,Low,Partial,Ground,Spalling
Road,Surface,465.67,11.44,66.38,Medium,Normal,None,Fixed Camera,Healthy
Bridge,Beam,339.67,36.6,73.31,Low,Normal,None,Ground,Deformation
Building,Wall,157.08,25.26,45.87,Medium,High,None,UAV,Spalling
Road,Deck,188.16,21.05,68.75,Medium,Low,None,Fixed Camera,Spalling
Road,Wall,277.48,8.88,36.63,Low,Low,Partial,Fixed Camera,Crack
Building,Surface,396.06,9.78,67.11,High,Normal,Severe,UAV,Corrosion
Road,Surface,162.4,1.02,5.02,Low,Normal,Severe,UAV,Corrosion
Road,Surface,291.97,5.03,39.68,High,Normal,Partial,Fixed Camera,Healthy
Tunnel,Wall,176.08,28.06,79.29,High,Low,Severe,Fixed Camera,Crack
Building,Surface,408.81,44.65,80.5,Low,Normal,None,Ground,Corrosion
Bridge,Beam,236.03,14.71,71.9,High,High,Partial,Ground,Healthy
Road,Surface,42.98,16.72,21.22,High,High,Severe,Fixed Camera,Deformation
Building,Column,87.2,6.22,25.47,High,Normal,Partial,Ground,Healthy
Tunnel,Wall,35.25,19.74,99.61,Medium,High,Partial,UAV,Spalling
Bridge,Column,252.15,2.34,11.23,Low,High,Severe,Ground,Corrosion
Building,Surface,57.64,45.92,18.89,High,High,Severe,Ground,Deformation
Bridge,Beam,61.5,33.82,13.87,Low,High,Partial,Fixed Camera,Corrosion
Bridge,Deck,470.82,49.54,33.44,Low,High,Partial,Ground,Crack
Bridge,Surface,436.96,44.2,21.81,Low,Low,Severe,Fixed Camera,Deformation
Road,Beam,228.78,23.91,50.27,Low,Normal,Partial,Fixed Camera,Spalling
Road,Wall,492.97,26.22,48.13,Medium,High,Severe,Fixed Camera,Healthy
Tunnel,Column,5.09,9.93,90.25,Medium,Normal,Partial,UAV,Healthy
Tunnel,Column,308.92,23.37,4.44,High,High,Partial,Ground,Healthy
Building,Column,310.13,45.2,32.67,Low,Low,Partial,Ground,Crack
Tunnel,Wall,231.43,3.02,60.07,High,Low,Severe,Ground,Spalling
Bridge,Beam,201.49,43.25,60.88,High,High,None,Fixed Camera,Deformation
Bridge,Wall,230.41,17.38,48.53,Low,High,Severe,UAV,Healthy
Road,Column,210.41,45.03,81.75,Low,High,Partial,Fixed Camera,Corrosion
Bridge,Surface,366.59,47.07,7.21,High,Low,None,Ground,Crack
Building,Deck,72.0,33.71,81.73,Medium,Low,None,Fixed Camera,Healthy
Bridge,Wall,102.83,33.39,49.98,High,Normal,Partial,Fixed Camera,Corrosion
Bridge,Wall,94.36,22.91,14.24,Medium,Low,Severe,Ground,Spalling
Building,Beam,134.92,41.86,88.68,Medium,High,None,Fixed Camera,Corrosion
Tunnel,Beam,265.0,48.1,65.27,Low,Normal,None,Fixed Camera,Corrosion
Tunnel,Wall,60.05,38.87,17.19,Medium,Low,Severe,UAV,Deformation
Building,Column,434.74,31.29,4.33,Low,Low,Severe,Fixed Camera,Corrosion
Road,Deck,152.19,30.54,14.97,Medium,High,None,UAV,Deformation
Bridge,Beam,85.46,42.55,61.27,High,Normal,Severe,Ground,Crack
Building,Column,339.43,27.29,18.75,Medium,Low,None,UAV,Corrosion
Bridge,Surface,23.85,40.29,23.35,High,Low,Partial,Fixed Camera,Corrosion
Road,Beam,311.88,25.69,3.49,Medium,High,Severe,Ground,Deformation
Bridge,Column,350.61,3.59,72.57,Medium,Normal,None,Fixed Camera,Corrosion
Building,Column,111.38,19.51,81.23,Medium,Normal,Severe,Fixed Camera,Spalling
Bridge,Deck,25.77,22.5,79.89,High,Normal,Severe,UAV,Deformation
Tunnel,Deck,185.0,7.51,13.63,Medium,Normal,None,Fixed Camera,Spalling
Road,Surface,53.8,5.57,90.43,Low,High,Partial,UAV,Spalling
Road,Column,62.66,27.01,67.56,High,Low,None,Ground,Corrosion
Road,Column,130.86,4.71,89.86,Medium,Low,Severe,Ground,Corrosion
Building,Deck,151.26,15.5,45.27,Low,Normal,None,Fixed Camera,Spalling
Road,Beam,267.34,37.36,44.26,Medium,Normal,Severe,UAV,Crack
Tunnel,Beam,340.8,48.24,78.67,High,Normal,None,Fixed Camera,Healthy
Building,Wall,298.42,36.03,10.24,Medium,Low,Partial,Fixed Camera,Deformation
Tunnel,Deck,78.44,49.63,52.57,Low,Low,Partial,Fixed Camera,Corrosion
Bridge,Wall,90.18,35.07,83.8,High,Normal,Partial,Fixed Camera,Spalling
Bridge,Deck,439.99,15.04,83.19,High,High,Partial,UAV,Healthy
Bridge,Surface,281.38,33.77,95.66,Medium,Low,None,Fixed Camera,Crack
Bridge,Column,435.62,35.26,70.13,Low,Low,Partial,Ground,Deformation
Tunnel,Surface,188.92,18.9,21.57,Low,Normal,None,UAV,Crack
Building,Deck,309.13,1.38,3.01,Medium,High,Severe,Fixed Camera,Spalling
Building,Column,264.21,35.31,48.46,High,Normal,Severe,UAV,Healthy
Road,Beam,162.97,1.57,51.86,Low,Normal,Severe,Fixed Camera,Spalling
Tunnel,Beam,237.61,31.74,24.79,Low,High,Partial,Ground,Spalling
Bridge,Wall,253.73,8.6,13.35,Low,High,Partial,Ground,Healthy
Tunnel,Deck,104.38,28.5,59.03,Medium,High,Partial,Ground,Deformation
Road,Deck,160.93,25.44,76.66,Low,Low,Severe,UAV,Deformation
Road,Beam,396.75,1.17,99.32,Low,Normal,Severe,Ground,Spalling
Tunnel,Surface,458.32,18.46,76.07,Low,Low,Severe,Fixed Camera,Spalling
Tunnel,Column,183.1,30.25,79.57,Medium,High,Severe,Fixed Camera,Deformation
Tunnel,Surface,156.95,42.51,62.03,Medium,Low,None,Fixed Camera,Healthy
Building,Surface,101.62,44.49,98.61,Low,High,None,UAV,Deformation
Bridge,Beam,340.85,24.45,64.36,High,High,Partial,UAV,Deformation
Tunnel,Beam,164.93,36.56,86.17,Low,Normal,Partial,Ground,Crack
Tunnel,Beam,493.94,16.16,94.63,Low,Normal,Severe,UAV,Deformation
Tunnel,Wall,166.21,17.44,93.06,High,Normal,None,Fixed Camera,Deformation
Road,Surface,200.1,10.13,38.76,Medium,Low,None,Fixed Camera,Deformation
Road,Deck,303.65,28.32,8.79,Medium,Normal,Partial,Fixed Camera,Crack
Building,Column,401.83,16.07,18.02,Low,High,None,UAV,Healthy
Bridge,Wall,237.41,4.68,6.86,High,Normal,Partial,Fixed Camera,Crack
Building,Deck,214.21,34.41,11.43,Medium,Low,Severe,Ground,Crack
Bridge,Surface,497.84,35.53,19.28,High,Normal,Severe,UAV,Spalling
Road,Beam,10.19,18.32,34.77,Low,Normal,Partial,Fixed Camera,Spalling
Road,Surface,448.06,4.3,54.81,Medium,Normal,Severe,Fixed Camera,Corrosion
Road,Column,78.82,21.6,71.46,High,Low,Severe,UAV,Deformation
